"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"CENTENE VENTURE COMPANY MICHIGAN","Ascension Complete","H7512","Local CCP","Local PPO","01/01/2022","For Profit","Centene Corporation","Denver","","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"CENTENE VENTURE COMPANY TENNESSEE","Ascension Complete","H8121","Local CCP","Local PPO","01/01/2022","For Profit","Centene Corporation","Denver","","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"CENTENE VENTURE COMPANY TENNESSEE","Ascension Complete","H2853","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Centene Corporation","Denver","","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"CENTENE VENTURE INSURANCE COMPANY TEXAS","Wellcare by Allwell","H6678","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Centene Corporation","Denver","1,163","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"CENTENE VENTURE INSURANCE COMPANY TEXAS","Wellcare by Allwell","H9357","Local CCP","Local PPO","01/01/2022","For Profit","Centene Corporation","Denver","684","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"CENTER FOR ELDERS INDEPENDENCE","Center For Elders' Independence","H5405","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Center For Elders Independence","San Francisco","978","510-17th St., Suite 400","","OAKLAND","CA","94612","","Black","Erica","","1-510-433-1150","","","eblack@cei.elders.org","510-17th St., Suite 400","","Oakland","CA","94612","05/26/2016"
"CENTERLIGHT HEALTHCARE, INC.","CenterLight Healthcare PACE","H3329","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","CenterLight Health System, Inc.","New York","2,230","136-65 37th Ave","","Flushing","NY","11354","Customer Service Team (CS","","","","1-833-252-2737","","","customerserviceteam@centerlight.org","136-65 37th Ave","","Flushing","NY","11354","05/11/2022"
"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living","H6988","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Centers Plan for Healthy Living, LLC","New York","2,830","75 Vanderbilt Ave.","Suite 600","Staten Island","NY","10304","AVP of Compliance","Fernandes","Natalie","","1-718-215-7000","3142","1-347-620-1885","compliance@centersplan.com","75 Vanderbilt Avenue","7th Floor","Staten Island","NY","10304","05/12/2022"
"CENTRA HEALTH, INC.","Centra PACE","H8096","National PACE","National PACE","02/01/2009","Not-for-Profit/Non-Profit","Centra Health, Inc.","Philadelphia","303","407 Federal Street","","Lynchburg","VA","24504","Senior Director","Boyd","Jennifer","H","1-434-200-6516","","","Jennifer.boyd@centrahealth.com","407 Federal Street","","Lynchburg","VA","24504","02/26/2024"
"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.","Central Health Medicare Plan","H5649","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.","New York","39,203","2400 E Katella Ave.","Ste 1100","Anaheim","CA","92806","","Department","Marketing","","1-626-388-2390","3106","1-626-388-2379","marketing@centralhealthplan.com","2400 E. Katella Ave 11th floor","","Anaheim","CA","92806","07/11/2023"
"CENTRAL MASS HEALTH, LLC","Mass Advantage","H9904","Local CCP","Local PPO","01/01/2022","For Profit","Central Mass Health Holding LLC","New York","1,029","67 Millbrook Street","","Worcester","MA","01606","Marketing Director","Greer","Maureen","","1-774-701-1213","","","maureen.greer@massadvantage.com","67 Millbrook Street","","Worcester","MA","01606","07/22/2024"
"CENTRAL MASS HEALTH, LLC","Mass Advantage","H7670","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Central Mass Health Holding LLC","New York","1,287","67 Millbrook Street","","Worcester","MA","01606","Marketing Director","Greer","Maureen","","1-774-701-1213","","","maureen.greer@massadvantage.com","67 Millbrook Street","","Worcester","MA","01606","03/03/2024"
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO","San Diego PACE","H9616","National PACE","National PACE","04/01/2015","Not-for-Profit/Non-Profit","Centro de Salud de la Comunidad de San Ysidro","San Francisco","2,010","1601 Precision Park Lane","","San Diego","CA","92173","Vice President & Chief St","Todd","Vernita","","1-619-941-2472","","","vernita.todd@syhealth.org","1601 Precision Park Lane","","San Diego","CA","92173","10/26/2023"
"CHA HMO, INC.","Humana","H0028","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Humana Inc.","Kansas City","382,195","500 West Main Street","","Louisville","KY","40202","Associate Director","Richter","Lisa","","1-800-448-6262","","","lrichter@humana.com","101 East Main Street","","Louisville","KY","40202","06/21/2022"
"CHAMPION HEALTH PLAN OF CALIFORNIA INC","Champion Heath Plan","H6170","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","Champion Health Plans-USA, LLC.","Seattle","138","19700 Fairchild Road,","Suite 230","Irvine","CA","92612","","Member Services","Champion","","1-800-885-8000","","","memberservices@championpayer.com","19700 Fairchild Road","Suite 230","Irvine","CA","92612","06/07/2024"
"CHEROKEE NATION COMPREHENSIVE CARE AGENCY","Cherokee Elder Care","H4142","National PACE","National PACE","08/01/2008","Not-for-Profit/Non-Profit","Cherokee Nation Comprehensive Care Agency","Dallas","187","1387 W 4th St.","","Tahlequah","OK","74464","Marketing/Intake Manager","Walls","Kendra","","1-918-453-5554","4226","1-918-207-0141","kendra-walls@cherokee.org","1387 W 4th Street","","Tahlequah","OK","74464","02/27/2024"
"CHINESE COMMUNITY HEALTH PLAN","CCHP (Chinese Community Health Plan)","H0571","Local CCP","HMO/HMOPOS","08/01/1994","For Profit","Chinese Hospital Association","San Francisco","5,755","445 Grant Avenue","Suite 700","SAN FRANCISCO","CA","94108","Director of Marketing","Cho","Youngsoo","","1-628-228-3375","","1-415-955-8818","youngsoo.cho@cchphealthplan.com","445 Grant Avenue","Suite 700","San Francisco","CA","94108","06/01/2022"
"CHRISTUS HEALTH PLAN","CHRISTUS Health Advantage","H1189","Local CCP","HMO/HMOPOS","01/01/2015","Not-for-Profit/Non-Profit","CHRISTUS Health","Dallas","5,360","5101 N. O'Connor Blvd","","Irving","TX","75039","Chief Administrative Offi","Hefton","Ronda","","1-844-282-3026","","","ronda.hefton@christushealth.org","5101 N. O'Connor Blvd","","Irving","TX","75039","02/06/2024"
"CIGNA HEALTH AND LIFE INSURANCE COMPANY","Cigna Healthcare","H7849","Local CCP","Local PPO","01/01/2020","For Profit","The Cigna Group","New York","95,626","900 Cottage Grove Road","","Bloomfield","CT","06002","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","08/10/2023"
"CIGNA HEALTH AND LIFE INSURANCE COMPANY","Cigna Healthcare","H7389","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","The Cigna Group","New York","2,722","900 COTTAGE GROVE ROAD,","","Bloomfield","CT","06002","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","08/10/2023"
"CIGNA HEALTHCARE OF ARIZONA, INC.","Cigna Healthcare","H0354","Local CCP","HMO/HMOPOS","12/01/1992","For Profit","The Cigna Group","New York","58,755","25500 N. Norterra Drive","Bldg B-Cigna Medicare Services","PHOENIX","AZ","85085","Customer Service Director","Soltis","Mike","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","25502 N Norterra Pkwy","","Phoenix","AZ","85085","03/15/2021"
"CIGNA HEALTHCARE OF CALIFORNIA, INC.","Cigna","H9662","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","The Cigna Group","New York","","400 North Brand Blvd","","Glendale","CA","91203","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","05/31/2024"
"CIGNA HEALTHCARE OF COLORADO, INC.","Cigna Healthcare","H0672","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","The Cigna Group","New York","10,300","3900 East Mexico Avenue, Suite 1100","","Denver","CO","80210","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","07/28/2023"
"CIGNA HEALTHCARE OF CONNECTICUT INC.","Cigna Healthcare","H2752","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","The Cigna Group","New York","163","901 COTTAGE GROVE ROAD,","","Bloomfield","CT","06002","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","08/10/2023"
"CIGNA HEALTHCARE OF GEORGIA, INC.","Cigna Healthcare","H0439","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","The Cigna Group","New York","17,553","Two Securities Center","3500 Piedmont Rd, Suite 2","Atlanta","GA","30306","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","03/15/2021"
"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.","Cigna Healthcare","H9725","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","The Cigna Group","New York","14,879","701 Corporate Center Dr","","Raleigh","NC","27607","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","08/10/2023"
"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.","Cigna Healthcare","H7020","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","The Cigna Group","New York","5,951","4000 Faber Place Dr.","Suite 220","Charleston","SC","29405","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","08/10/2023"
"CIGNA HEALTHCARE OF ST LOUIS, INC.","Cigna Healthcare","H9460","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","The Cigna Group","New York","849","530 Great Circle Road","","Nashville","TN","37228","Customer Service Director","Rich","Jared","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","08/10/2023"
"CLEAR SPRING HEALTH (CO), INC.","Clear Spring Health","H6379","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Group 1001","Chicago","1,269","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH (GA), INC.","Clear Spring Health","H9589","Local CCP","Local PPO","01/01/2017","For Profit","Group 1001","Chicago","281","3620 Enterprise Way","","Miramar","FL","33025","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH (GA), INC.","Clear Spring Health","H6672","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Group 1001","Chicago","1,490","3620 Enterprise Way","","Miramar","FL","33025","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH (SC), INC.","Clear Spring Health","H9403","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Group 1001","Chicago","257","3620 Enterprise Way","","Miramar","FL","33025","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","05/28/2024"
"CLEAR SPRING HEALTH (SC), INC.","Clear Spring Health","H2334","Local CCP","Local PPO","01/01/2017","For Profit","Group 1001","Chicago","67","3620 Enterprise Way","","Miramar","FL","33025","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","05/28/2024"
"CLEAR SPRING HEALTH (VA), INC.","Clear Spring Health","H8293","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Group 1001","Chicago","898","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","05/28/2024"
"CLEAR SPRING HEALTH COMMUNITY CARE, INC.","Clear Spring Health","H3071","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Group 1001","Chicago","2,156","322 S. Green Street","Suite 400","Chicago","IL","60607","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH INSURANCE COMPANY","Clear Spring Health","H8014","Local CCP","Local PPO","01/01/2023","For Profit","Group 1001","Chicago","130","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/22/2022"
"CLEAR SPRING HEALTH OF ILLINOIS, INC.","Clear Spring Health","H5454","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Group 1001","Chicago","1,011","227 West Monroe Street","Suite 3950","Chicago","IL","60606","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEVER CARE OF GOLDEN STATE, INC.","Clever Care Health Plan","H7607","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Clever Care Health Plan, Inc.","San Francisco","27,398","7711 Center Ave","Suite 100","Huntington Beach","CA","92647","Customer Service","Service","Customer","","1-833-388-8162","","","csr@ccmapd.com","7711 Center Ave","Suite 100","Huntington Beach","CA","92647","04/18/2022"
"CLOVER HMO OF NEW JERSEY INC.","Clover Health","H8010","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Clover Health Holdings, Inc.","New York","3,564","3401 Mallory Lane  Ste 210","","Franklin","TN","37067","Chief Compliance Officer","Richey","Wendy","","1-551-225-2014","","1-201-255-4173","wendy.richey@cloverhealth.com","30 Montgomery Street, 15th Floor","","Jersey City","NJ","07302","04/12/2024"
"CLOVER INSURANCE COMPANY","Clover Health","H5141","Local CCP","Local PPO","01/01/2013","For Profit","Clover Health Holdings, Inc.","New York","76,885","3401 Mallory Lane Ste 210","","Franklin","TN","37067","Chief Compliance Officer","Richey","Wendy","","1-551-225-2014","","1-201-255-4173","wendy.richey@cloverhealth.com","30 Montgomery Street, 15th Floor","","Jersey City","NJ","07302","02/07/2024"
"COLLABRIA CARE","Providence PACE","H2085","National PACE","National PACE","01/01/2023","Not-for-Profit/Non-Profit","St. Joseph Home Care Network","San Francisco","41","414 South Jefferson Street","","Napa","CA","94559","","Bering","Rika","","1-503-215-3857","","1-206-760-6339","rika.bering@providence.org","4400 NE Halsey, Bldg. 1, Suite 200","","Portland","OR","97213","02/24/2022"
"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance Massachusetts","H0137","Demo","Medicare-Medicaid Plan HMO/HMOPOS","10/01/2013","Not-for-Profit/Non-Profit","Commonwealth Care Alliance, Inc.","Boston","30,197","30 Winter Street","12th Floor","Boston","MA","02108","","Services","Member","","1-866-420-9332","","","memberservices@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","01/16/2023"
"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance Massachusetts","H2225","Local CCP","HMO/HMOPOS","06/01/2004","Not-for-Profit/Non-Profit","Commonwealth Care Alliance, Inc.","Boston","16,067","30 WINTER STREET","","BOSTON","MA","02108","","Services","Member","","1-866-420-9332","","","memberservices@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","01/16/2023"
"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC.","Healthy Blue","H1947","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Elevance Health, Inc.","Chicago","2,396","4425 Corporation Lane","","Virginia Beach","VA","23462","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMMUNITY CARE HEALTH PLAN, INC.","Community Care","H2034","Local CCP","HMO/HMOPOS","01/01/2008","Not-for-Profit/Non-Profit","Community Care, Inc.","Chicago","496","205 Bishops Way","","Brookfield","WI","53005","","Hotline","Provider","","1-866-937-2783","","","claimsinquiries@communitycareinc.org","1801 Dolphin Drive","","Waukesha","WI","53186","02/17/2010"
"COMMUNITY CARE, INC.","Community Care","H5212","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Community Care, Inc.","Chicago","481","205 Bishops Way","","Brookfield","WI","53005","","Hotline","Provider","","1-866-937-2783","","","claimsinquiries@communitycareinc.org","1801 Dolphin Drive","","Waukesha","WI","53186","02/17/2010"
"COMMUNITY ELDERCARE OF SAN DIEGO","St. Paul's PACE","H5629","National PACE","National PACE","02/01/2008","Not-for-Profit/Non-Profit","St. Paul’s Episcopal Home","San Francisco","1,137","111 Elm Street","","San Diego","CA","92101","Compliance Manager","Cueva","Celeste","","1-877-510-7223","","","ccueva@stpaulspace.org","111 Elm Street","","San Diego","CA","92101","01/11/2024"
"COMMUNITY FIRST HEALTH PLANS, INC.","Community First","H5447","Local CCP","HMO/HMOPOS","01/01/2021","Not-for-Profit/Non-Profit","Bexar County Hospital District","Dallas","51","12238 Silicon Drive, Suite 100","","San Antonio","TX","78249","Executive Director, Corpo","Razo","Judy","","1-210-358-6396","","","JRazo@cfhp.com","12238 Silicon Dr","STE 100","San Antonio","TX","78249","01/24/2024"
"COMMUNITY HEALTH CHOICE TEXAS, INC.","Community Health Choice","H9826","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","Harris County Hospital District","Dallas","323","4888 Loop Central","Suite 600","Houston","TX","77081","Senior Technical Writer","Schoech","Tawnya","","1-713-314-5667","","","tawnya.schoech@communityhealthchoice.org","2636 South Loop West","Suite 125","Houston","TX","77054","03/30/2021"
"COMMUNITY HEALTH GROUP","Community Health Group","H4733","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","Community Health Group","San Francisco","7,243","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","Director of Member Servic","Arce","Adrian","","1-619-498-6456","","","aarce@chgsd.com","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","01/24/2024"
"COMMUNITY HEALTH GROUP","Community Health Group","H6248","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","Community Health Group","San Francisco","135","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","Director of Member Servic","Arce","Adrian","","1-619-498-6456","","","aarce@chgsd.com","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","01/24/2024"
"COMMUNITY HEALTH PLAN OF WASHINGTON","Community Health Plan of WA Medicare Advantage","H5826","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","Community Health Plan of Washington","Seattle","15,225","1111 Third Ave, Suite 400","","Seattle","WA","981011830","Customer Service Departme","Care","Customer","","1-800-942-0247","","1-206-521-8834","CustomerCare@chpw.org","1111 Third Ave, Ste 400","","Seattle","WA","98101","05/11/2021"
"COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","H7093","Local CCP","Local PPO","01/01/2022","For Profit","Elevance Health, Inc.","Chicago","13,065","4361 Irwin-Simpson Road","","Mason","OH","45040","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","H3655","Local CCP","HMO/HMOPOS","10/01/1994","For Profit","Elevance Health, Inc.","Chicago","272,164","4361 Irwin Simpson Road","","Mason","OH","45040","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMMUNITY PACE AT HOME, INC","Community PACE at Home, Inc,","H5085","National PACE","National PACE","07/01/2017","For Profit","Community PACE at Home, Inc","Chicago","92","231 West Pine Lake Drive","","Newaygo","MI","49337","Intake Director","Aparicio","Amber","","1-231-652-4618","","1-231-652-4620","aaparicio@communitypace.com","231 West Pine Lake Drive","","Newaygo","MI","49337","12/11/2023"
"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","CommunityCare Senior Health Plan (HMO)","H3755","Local CCP","HMO/HMOPOS","05/01/1996","Not-for-Profit/Non-Profit","St Francis Health System & St John Health System","Dallas","33,145","Williams Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","Manager Customer Service","Prince","LeAnn","","1-918-594-5295","6908","","lprince@ccok.com","Williams Center Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","01/23/2024"
"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","Integris Health Partners+ (HMO)","H4198","Local CCP","HMO/HMOPOS","01/01/2016","Not-for-Profit/Non-Profit","St Francis Health System & St John Health System","Dallas","470","Williams Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","Manager Customer Service","Prince","LeAnn","","1-918-594-5295","6908","","lprince@ccok.com","Williams Center Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","03/25/2024"
"COMPCARE HEALTH SERVICES INSURANCE CORPORATION","Anthem Blue Cross and Blue Shield","H9525","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Elevance Health, Inc.","Chicago","158,550","N17 W24340 Riverwood","","Waukesha","WI","53188","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMPLETE HEALTH WITH PACE","Baptist Health PACE","H6342","National PACE","National PACE","06/01/2016","Not-for-Profit/Non-Profit","Baptist Health (Arkansas)","New York","91","3500 Springhill Drive","","North Little Rock","AR","72117","","Williams","Sheila","","1-501-441-8000","","","sheila.williams@baptist-health.org","3500 Springhill Drive","","North Little Rock","AR","72117","08/15/2022"
"COMPLETE SENIOR CARE, INC.","Complete Senior Care","H8777","National PACE","National PACE","08/01/2011","Not-for-Profit/Non-Profit","Health Association of Niagara County, Incorp.","New York","134","1302 Main Street","","Niagra Falls","NY","14301","Enrollment/Marketing","McAuliffe","Virginia","","1-716-285-8248","111","","McAuliffe@completeseniorcare.org","1302 Main Street","","Niagara Falls","NY","14301","02/19/2013"
"COMPREHENSIVE SENIOR CARE CORPORATION","Senior Care Partners P.A.C.E.","H1310","National PACE","National PACE","04/01/2009","Not-for-Profit/Non-Profit","Comprehensive Senior Care Corporation","Kansas City","610","200 W. Michigan Avenue","Suite 103","Battle Creek","MI","49017","Chief Executive Officer","Harrison","Qiana","","1-269-888-6107","","","q.harrison@seniorcarepartnersmi.org","200 W. Michigan Avenue, Suite 103","","Battle Creek","MI","49017","04/29/2024"
"CONCERTOHEALTH OF NORTHERN VIRGINIA, LLC","Cherry Blossom PACE","H3991","National PACE","National PACE","12/01/2021","For Profit","One Senior Care, Inc.","Philadelphia","35","1901 N Beauregard St","","Alexandria","VA","22311","VP, Controller","Haschalk","Danielle","","1-814-456-5433","","","danielle.haschalk@oneseniorcare.com","100 State Street","Suite 200","Erie","PA","16507","06/28/2024"
"CONCERTOHEALTH PACE OF LOS ANGELES, LLC","InnovAge California PACE - Crenshaw","H7366","National PACE","National PACE","07/01/2022","For Profit","Total Community Options, Inc.","San Francisco","31","8950 E Lowry Blvd","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"CONNECTICARE INSURANCE COMPANY, INC.","ConnectiCare","H3276","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","EmblemHealth, Inc.","New York","711","175 Scott Swamp Rd","","Farmington","CT","06032","VP, Ops Strategy & Servic","Pandey","Priyank","","1-646-447-7543","","","ppandey@emblemhealth.com","55 Water Street","","New York","NY","10041","05/23/2023"
"CONNECTICARE, INC.","ConnectiCare","H3528","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","EmblemHealth, Inc.","New York","31,207","175 Scott Swamp Road","","Farmington","CT","06032","Sr. VP Operations","Pandey","Priyank","","1-646-447-7543","","","ppandey@emblemhealth.com","55 Water Street","","New York","NY","10041","02/17/2021"
"CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC","Consolidated Assoc Of Railroad Employees Hc","H4556","HCPP - 1833 Cost","HCPP - 1833 Cost","01/01/1992","Not-for-Profit/Non-Profit","Consolidated Assoc of Railroad Employees HC","Dallas","1,132","4912 MIDWAY DR.","P.O. BOX 6130","TEMPLE","TX","76502","Medicare Coordinator","Cumby","Shelly","","1-254-773-1330","306","1-254-774-7652","shellyc@carehealthplan.com","P.O. Box 6130","","Temple","TX","76503-6130","10/09/2023"
"COORDINATED CARE CORPORATION","Wellcare by Allwell","H3499","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","3,807","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"COORDINATED CARE CORPORATION","Wellcare by Allwell","H6348","Local CCP","Local PPO","01/01/2018","For Profit","Centene Corporation","Denver","1,649","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"COORDINATED CARE OF WASHINGTON, INC.","Allwell","H0029","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","","7700 Forsyth Blvd","","St. Louis","MO","63105","","Net","Health","","1-800-867-6564","","1-800-977-8226","CorporateMedicareComplianceDept@Centene.com","PO Box 419069","","Rancho Cordova","CA","95741","08/14/2017"
